course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num
3,2019-08-01Z,2019-05-13Z,AFAS,"""National Security Affairs/Preparation for Active Duty"" is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. Requires concurrent enrollment with AFAS 102. Prerequisite: AFAS 332 or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AFAS/341/40062.xml,,,ARRANGED,,Nat Sec Afrs/Prep Actv Duty I,341,,summer,SF,2019,40062,J,Simmons,Requires concurrent enrollment with AFAS 102. Prerequisite: AFAS 332 or consent of instructor.,S  
3,2019-08-01Z,2019-06-10Z,AFRO,"Interdisciplinary introduction to the basic concepts and literature in the disciplines covered by African American studies; surveys the major approaches to the study of African Americans across several academic disciplines including economics, education, psychology, literature, political science, sociology and others.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AFRO/100/31247.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""CS""><description>Cultural Studies</description><ns2:genEdAttributes><genEdAttribute code=""1US"">Cultural Studies - US Minority</genEdAttribute></ns2:genEdAttributes></category>, <category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""SBS""><description>Social &amp; Behavioral Sciences</description><ns2:genEdAttributes><genEdAttribute code=""1SS"">Social &amp; Beh Sci - Soc Sci</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Intro to African American St,100,,summer,S2,2019,31247,R,Bailey,,A  
3,2019-08-01Z,2019-06-10Z,AFRO,"Interdisciplinary introduction to the basic concepts and literature in the disciplines covered by African American studies; surveys the major approaches to the study of African Americans across several academic disciplines including economics, education, psychology, literature, political science, sociology and others.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AFRO/100/31247.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""CS""><description>Cultural Studies</description><ns2:genEdAttributes><genEdAttribute code=""1US"">Cultural Studies - US Minority</genEdAttribute></ns2:genEdAttributes></category>, <category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""SBS""><description>Social &amp; Behavioral Sciences</description><ns2:genEdAttributes><genEdAttribute code=""1SS"">Social &amp; Beh Sci - Soc Sci</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Intro to African American St,100,,summer,S2,2019,31247,D,McMillion,,A  
3,2019-08-01Z,2019-06-10Z,AFST,"Interdisciplinary introduction to Africa dealing with basic themes and problems in the politics, economics, sociology, anthropology, and history of Africa. Same as ANTH 222, PS 242, and SOC 222.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AFST/222/37829.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""CS""><description>Cultural Studies</description><ns2:genEdAttributes><genEdAttribute code=""1NW"">Cultural Studies - Non-West</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Introduction to Modern Africa,222,,summer,S2,2019,37829,M,Barro,"Same as ANTH 222, PS 242, and SOC 222.",A  
0,2019-08-01Z,2019-05-13Z,AHS,Provides credit toward the undergraduate degree for study at an accredited international institution or approved overseas program. Final determination of credit granted is made upon the student' s successful completion of work. Approved for letter and S/U grading. May be repeated to a maximum of 44 hours. Prerequisite: One year or residence at UIUC and consent of major department and the college.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AHS/292/33678.xml,,,ARRANGED,,AHS Study Abroad,292,,summer,1,2019,33678,K,Benz,Approved for letter and S/U grading. May be repeated to a maximum of 44 hours. Prerequisite: One year or residence at UIUC and consent of major department and the college.,A  
4,2019-08-01Z,2019-06-10Z,AFRO,"Same as AAS 310, EPS 310, and LLS 310. See EPS 310.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AFRO/310/37441.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""CS""><description>Cultural Studies</description><ns2:genEdAttributes><genEdAttribute code=""1US"">Cultural Studies - US Minority</genEdAttribute></ns2:genEdAttributes></category>, <category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""ACP""><description>Advanced Composition</description><ns2:genEdAttributes><genEdAttribute code=""1CLL"">Advanced Composition</genEdAttribute></ns2:genEdAttributes></category>",07:00 PM,05:00 PM,,Race and Cultural Diversity,310,,summer,S2,2019,37441,T,Moton,"Same as AAS 310, EPS 310, and LLS 310. See EPS 310.",A  
4,2019-08-01Z,2019-06-10Z,AFRO,"Same as AAS 310, EPS 310, and LLS 310. See EPS 310.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AFRO/310/37441.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""CS""><description>Cultural Studies</description><ns2:genEdAttributes><genEdAttribute code=""1US"">Cultural Studies - US Minority</genEdAttribute></ns2:genEdAttributes></category>, <category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""ACP""><description>Advanced Composition</description><ns2:genEdAttributes><genEdAttribute code=""1CLL"">Advanced Composition</genEdAttribute></ns2:genEdAttributes></category>",07:00 PM,05:00 PM,,Race and Cultural Diversity,310,,summer,S2,2019,37441,F,Turner,"Same as AAS 310, EPS 310, and LLS 310. See EPS 310.",A  
3,2019-08-01Z,2019-06-10Z,AFRO,"Uses film as case studies to examine the diverse structures, social classes, and internal dynamics among African American families. Critical family processes such as family formation patterns, dating mate selection, parenting, male-female/gender relations, child adolescent, and adult development, family routines and practices, family communication, and family stress and coping will be examined. Also considers how families interact within larger contexts, such as the local neighborhood and key institutions (school, workplace, social service agencies). Films will be supplemented with readings drawn for diverse disciplines (African American Studies, Anthropology, Family Studies, History, Psychology, and Sociology) that allow us to examine key substantive, theoretical, methodological, and policy issues in the study of African American families. Same as HDFS 324.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/AFRO/382/39674.xml,,02:50 PM,11:00 AM,Foreign Languages Building,African Amer Families in Film,382,G48,summer,S2,2019,39674,D,McMillion,Same as HDFS 324.,DMC
0,2019-08-01Z,2019-05-13Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/598/38055.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2019,38055,S,Keating,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",SK 
0,2019-08-01Z,2019-05-13Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/598/38061.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2019,38061,K,Terio,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",KAT
5,2019-07-05Z,2019-06-10Z,TURK,Mastery of Turkish alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the laboratory is required.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/TURK/201/34950.xml,,10:50 AM,09:00 AM,Foreign Languages Building,Elementary Turkish I,201,G17,summer,S2A,2019,34950,M,Al-Ariqy,,A1 
5,2019-07-05Z,2019-06-10Z,TURK,Mastery of Turkish alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the laboratory is required.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/TURK/201/34950.xml,,10:50 AM,09:00 AM,Foreign Languages Building,Elementary Turkish I,201,G17,summer,S2A,2019,34950,O,Evcen,,A1 
5,2019-07-05Z,2019-06-10Z,TURK,Mastery of Turkish alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the laboratory is required.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/TURK/201/34950.xml,,10:50 AM,09:00 AM,Foreign Languages Building,Elementary Turkish I,201,G17,summer,S2A,2019,34950,E,Saadah,,A1 
5,2019-07-05Z,2019-06-10Z,TURK,Mastery of Turkish alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the laboratory is required.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/TURK/201/34950.xml,,10:50 AM,09:00 AM,Foreign Languages Building,Elementary Turkish I,201,G17,summer,S2A,2019,34950,M,Al-Ariqy,,A1 
5,2019-07-05Z,2019-06-10Z,TURK,Mastery of Turkish alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the laboratory is required.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/TURK/201/34950.xml,,10:50 AM,09:00 AM,Foreign Languages Building,Elementary Turkish I,201,G17,summer,S2A,2019,34950,O,Evcen,,A1 
5,2019-07-05Z,2019-06-10Z,TURK,Mastery of Turkish alphabet and phonetics; elementary formal grammar and the development of reading and writing skills; and conversation in the formal noncolloquial style. Participation in the laboratory is required.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/TURK/201/34950.xml,,10:50 AM,09:00 AM,Foreign Languages Building,Elementary Turkish I,201,G17,summer,S2A,2019,34950,E,Saadah,,A1 
1,2019-08-01Z,2019-05-13Z,VCM,Individual customized clerkship in clinical medicine and surgery for VM-4 professional students. Approved for S/U grading only. May be repeated to a maximum of 9 hours. Prerequisite: Fourth-year standing in the veterinary medicine professional curriculum.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/601/31821.xml,,,ARRANGED,,Clinical/Laboratory Practice,601,,summer,SF,2019,31821,K,Campbell,Approved for S/U grading only. May be repeated to a maximum of 9 hours. Prerequisite: Fourth-year standing in the veterinary medicine professional curriculum.,8  
0,2019-08-01Z,2019-05-13Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/598/38537.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2019,38537,R,Hamor,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",REH
0,2019-08-01Z,2019-05-13Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/598/38068.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2019,38068,L,Selmic,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",LS 
0,2019-08-01Z,2019-05-13Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/598/38531.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2019,38531,M,Stewart,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",MCS
0,2019-08-01Z,2019-05-13Z,VCM,"Independent research to fulfill requirement for non-thesis alternative in Master of Science Program. Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/VCM/598/38717.xml,,,ARRANGED,,Manuscript Research,598,,summer,SF,2019,38717,M,Allender,"Credit is not given for both VCM 598 and VCM 599. (Summer Session, 1 to 2 hours.) Prerequisite: Must be enrolled in the departmental graduate program.",MCA
3,2019-08-01Z,2019-06-10Z,SLS,"Same as EIL 460, EPSY 487, FR 460, GER 460, ITAL 460, PORT 460, and SPAN 460. See EIL 460.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/SLS/460/36876.xml,,,ARRANGED,,Principles of Language Testing,460,,summer,S2,2019,36876,X,Yan,"Same as EIL 460, EPSY 487, FR 460, GER 460, ITAL 460, PORT 460, and SPAN 460. See EIL 460.",FD4
3,2019-08-01Z,2019-06-10Z,SLS,"Same as EIL 460, EPSY 487, FR 460, GER 460, ITAL 460, PORT 460, and SPAN 460. See EIL 460.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/SLS/460/36868.xml,,,ARRANGED,,Principles of Language Testing,460,,summer,S2,2019,36868,X,Yan,"Same as EIL 460, EPSY 487, FR 460, GER 460, ITAL 460, PORT 460, and SPAN 460. See EIL 460.",FD3
3,2019-07-05Z,2019-06-10Z,SPED,Course focuses on the theoretical and practical considerations in the psychological and educational assessment of individuals with disabilities. An emphasis will be placed on understanding the technical and practical aspects of current assessment procedures and their application to the education of children and youth with disabilities. 3 undergraduate hours. 3 graduate hours. Prerequisite: Admission to the Department of Special Education or consent of instructor.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/SPED/424/31198.xml,,11:50 AM,09:00 AM,Education Building,Foundations of Assessment,424,242,summer,S2A,2019,31198,J,Shriner,3 undergraduate hours. 3 graduate hours. Prerequisite: Admission to the Department of Special Education or consent of instructor.,A  
4,2019-07-05Z,2019-06-10Z,SPED,"Overview of special education at the graduate level. Focus is placed on issues related to: assessment, identification, and characteristics across all disability areas. The greatest emphasis is placed on strategies for including students with disabilities in the general curriculum. Historical and legal perspectives that provide the foundation for special education are discussed.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/SPED/517/39692.xml,,03:50 PM,01:00 PM,Education Building,Disability Issues in SPED,517,242,summer,S2A,2019,39692,C,Light Shriner,,A  
1,2019-08-01Z,2019-05-13Z,SPED,"Planning field studies and thesis problems by graduate students; students present their studies at each of four stages: (1) the inception, delimitation, tentative design stage; (2) the proposed design stage; (3) the revised design stage; and (4) the final design stage. Students are expected to analyze all presentations critically. May be repeated up to 8 hours. Prerequisite: Admission to graduate studies in Special Education or consent of instructor.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/SPED/591/37539.xml,,,ARRANGED,,Field Study and Thesis Seminar,591,,summer,1,2019,37539,Y,Carey,May be repeated up to 8 hours. Prerequisite: Admission to graduate studies in Special Education or consent of instructor.,AC 
0,2019-08-01Z,2019-06-10Z,NEUR,Same as PSYC 598. See PSYC 598.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/NEUR/598/38616.xml,,,ARRANGED,,Proseminar in Psychology,598,,summer,S2,2019,38616,H,Berenbaum,Same as PSYC 598. See PSYC 598.,INT
0,2019-08-01Z,2019-05-13Z,NEUR,Same as PSYC 598. See PSYC 598.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/NEUR/598/38830.xml,,,ARRANGED,,Proseminar in Psychology,598,,summer,SF,2019,38830,R,Wickesberg,Same as PSYC 598. See PSYC 598.,IN2
3,2019-08-01Z,2019-06-10Z,MACS,Same as ENGL 104. See ENGL 104.,https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/MACS/104/36663.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""HUM""><description>Humanities &amp; the Arts</description><ns2:genEdAttributes><genEdAttribute code=""1LA"">Humanities – Lit &amp; Arts</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Intro to Film,104,,summer,S2,2019,36663,S,Slobodnik,Same as ENGL 104. See ENGL 104.,ONL
1,2019-08-01Z,2019-06-10Z,NUTR,"Discussions of current research and literature pertaining to disciplinary specializations within the Division of Nutritional Sciences. 0 or 1 graduate hours. No professional credit. Approved for S/U grading only. May be repeated in the same or different terms, to a maximum of 2 hours for Masters students and 4 hours for PhD students.",https://courses.illinois.edu/cisapp/explorer/schedule/2019/summer/NUTR/590/40197.xml,,09:50 AM,09:00 AM,,Disciplinary Seminar,590,,summer,S2,2019,40197,E,Demejia,"0 or 1 graduate hours. No professional credit. Approved for S/U grading only. May be repeated in the same or different terms, to a maximum of 2 hours for Masters students and 4 hours for PhD students.",A  
