course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num,section_type
3,2018-01-13Z,2017-12-22Z,ADV,"In this course, you will develop a rich knowledge base of advertising and the advertising industry as it has evolved in the United States over the last two centuries. Included will be an analysis of the key events, forces, people and technology. Credit is not given for ADV 312 if credit for ADV 412 has been earned.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/ADV/312/10003.xml,,,ARRANGED,,Advertising History,312,,winter,1,2018,10003,J,Chambers,Credit is not given for ADV 312 if credit for ADV 412 has been earned.,A  ,Online
3,2018-01-13Z,2017-12-22Z,ESE,Same as GEOG 210. See GEOG 210.,https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/ESE/210/10010.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""SBS""><description>Social &amp; Behavioral Sciences</description><ns2:genEdAttributes><genEdAttribute code=""1SS"">Social &amp; Beh Sci - Soc Sci</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Social & Environmental Issues,210,,winter,1,2018,10010,R,Zaimi,Same as GEOG 210. See GEOG 210.,ONL,Online
3,2018-01-13Z,2017-12-22Z,FIN,"Introductory study of corporate financial management, in particular how the financial manager's choices add value to shareholder wealth through investment financing and operating decisions. Prerequisite: Completion of ECON 102 or ECON 103.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/FIN/221/10053.xml,,,ARRANGED,,Corporate Finance,221,,winter,1,2018,10053,M,Dyer,Prerequisite: Completion of ECON 102 or ECON 103.,ONL,Online
0,2018-01-13Z,2017-12-22Z,CS,Topics vary. Approved for Letter and S/U grading. May be repeated.,https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/CS/199/10030.xml,,,ARRANGED,,Undergraduate Open Seminar in Computer Science,199,,winter,1,2018,10030,E,Shaffer,Approved for Letter and S/U grading. May be repeated.,GAM,Online
3,2018-01-13Z,2017-12-22Z,ESE,Same as ATMS 120. See ATMS 120.,https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/ESE/120/10038.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""NAT""><description>Natural Sciences &amp; Technology</description><ns2:genEdAttributes><genEdAttribute code=""1PS"">Nat Sci &amp; Tech - Phys Sciences</genEdAttribute></ns2:genEdAttributes></category>, <category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""QR""><description>Quantitative Reasoning</description><ns2:genEdAttributes><genEdAttribute code=""1QR2"">Quantitative Reasoning II</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Severe and Hazardous Weather,120,,winter,1,2018,10038,E,Snodgrass,Same as ATMS 120. See ATMS 120.,ONL,Online
3,2018-01-13Z,2017-12-22Z,GEOL,"Integrated introduction to oceanography and marine geology and geophysics. Topics include ocean-basin formation and evolution (in the context of plate tectonics), ocean ecology, the hydrologic cycle, water chemistry, currents and waves, the interaction of oceans with climate, coastal hazards, resources, pollution, and the Law of the Sea. Course is oriented toward students not majoring in science. Same as ESE 117.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/GEOL/117/10049.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""NAT""><description>Natural Sciences &amp; Technology</description><ns2:genEdAttributes><genEdAttribute code=""1PS"">Nat Sci &amp; Tech - Phys Sciences</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,The Oceans,117,,winter,1,2018,10049,J,Pettijohn,Same as ESE 117.,A  ,Online
2,2018-01-13Z,2017-12-22Z,PS,"Examines the politics of national parks in the United States, including creation of parks, local support or opposition to parks, and park policy as well as policy questions such as the value of wilderness ecosystem management, endangered species protection, and role of parks in national identity and remembrance of events such as the Civil War, the Indian wars, or the civil rights movement. Same as RST 224. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 10 hours.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/PS/224/10029.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""SBS""><description>Social &amp; Behavioral Sciences</description><ns2:genEdAttributes><genEdAttribute code=""1SS"">Social &amp; Beh Sci - Soc Sci</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Politics of the National Parks,224,,winter,1,2018,10029,C,Paschall,Same as RST 224. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 10 hours.,A  ,Online
3,2018-01-13Z,2017-12-22Z,GEOL,"Introduces the nature, causes, risks, effects, and prediction of natural disasters including earthquakes, volcanoes, landslides, subsidence, global climate change, severe weather, coastal erosion, floods, mass extinctions, and meteorite  impacts; covers scientific principles and case histories of natural disasters as well as human responses (societal impact, mitigation strategies, and public policy). Same as ESE 118 and GLBL 118.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/GEOL/118/10007.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""NAT""><description>Natural Sciences &amp; Technology</description><ns2:genEdAttributes><genEdAttribute code=""1PS"">Nat Sci &amp; Tech - Phys Sciences</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Natural Disasters,118,,winter,1,2018,10007,S,Altaner,Same as ESE 118 and GLBL 118.,A  ,Online
3,2018-01-13Z,2017-12-22Z,ESE,Same as GEOL 118 and GLBL 118. See GEOL 118.,https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/ESE/118/10008.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""NAT""><description>Natural Sciences &amp; Technology</description><ns2:genEdAttributes><genEdAttribute code=""1PS"">Nat Sci &amp; Tech - Phys Sciences</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Natural Disasters,118,,winter,1,2018,10008,S,Altaner,Same as GEOL 118 and GLBL 118. See GEOL 118.,A  ,Online
3,2018-01-13Z,2017-12-22Z,PHIL,"Practical study of logical reasoning; techniques for analyzing and criticizing arguments, with emphasis on assessing the logical coherence of what we read and write.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/PHIL/102/10046.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""HUM""><description>Humanities &amp; the Arts</description><ns2:genEdAttributes><genEdAttribute code=""1HP"">Humanities – Hist &amp; Phil</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Logic and Reasoning,102,,winter,1,2018,10046,D,Gilbert,,DG ,Online
3,2018-01-13Z,2017-12-22Z,BADM,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/BADM/380/10017.xml,,,ARRANGED,,International Business,380,,winter,1,2018,10017,M,Bucheli,,A  ,Online
4,2018-01-13Z,2017-12-22Z,PSYC,"Study of human behavior with special reference to perception, learning, memory, thinking, emotional life, and individual differences in intelligence, aptitude, and personality; emphasis on the scientific nature of psychological investigations; and discussion of research methods and the relation of their results to daily life and everyday problems. Lectures, discussions, and six hours of participation as a subject in psychological experiments. Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/PSYC/100/10034.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""SBS""><description>Social &amp; Behavioral Sciences</description><ns2:genEdAttributes><genEdAttribute code=""1BSC"">Social &amp; Beh Sci - Beh Sci</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Intro Psych,100,,winter,1,2018,10034,C,Shenouda,Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.,A  ,Online
3,2018-01-13Z,2017-12-22Z,GEOG,"In-depth exploration of global urbanization. Using a comparative regional approach, discuss the recent history of global urbanization, dissect its problems, and offer possible solutions. Approximately ten major regions of the world will be examined, exploring the significant  urban patterns and processes, built and natural environments, and social, economic, and cultural landscapes of each.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/GEOG/204/10047.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""SBS""><description>Social &amp; Behavioral Sciences</description><ns2:genEdAttributes><genEdAttribute code=""1SS"">Social &amp; Beh Sci - Soc Sci</genEdAttribute></ns2:genEdAttributes></category>, <category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""CS""><description>Cultural Studies</description><ns2:genEdAttributes><genEdAttribute code=""1WCC"">Cultural Studies - Western</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,Cities of the World,204,,winter,1,2018,10047,P,Tripathy,,ONL,Online
3,2018-01-13Z,2017-12-22Z,RST,"Central issues in defining leisure; historical, philosophical, sociological, psychological, and economic approaches to understanding leisure behavior, its meanings, social contexts, and personal and social resources.",https://courses.illinois.edu/cisapp/explorer/schedule/2018/winter/RST/100/10041.xml,"<category xmlns:ns2=""http://rest.cis.illinois.edu"" id=""SBS""><description>Social &amp; Behavioral Sciences</description><ns2:genEdAttributes><genEdAttribute code=""1SS"">Social &amp; Beh Sci - Soc Sci</genEdAttribute></ns2:genEdAttributes></category>",,ARRANGED,,RST in Modern Society,100,,winter,1,2018,10041,K,Shinew,,ONL,Online
